area_final_m2,dormitorios,banos,cocheras,antiguedad_anios,amenities_count,latitud,longitud,dist_mar_km,dist_centro_km,area_por_dormitorio,dist_nearest_m_supermercados,count_1km_farmacias,dist_nearest_m_farmacias,count_1km_colegios,dist_nearest_m_colegios,count_1km_hospitales,count_1km_bancos,dist_nearest_m_bancos,count_1km_universidades,dist_nearest_m_universidades,count_1km_parqueos,dist_nearest_m_parqueos,tiene_numero_de_pisos,tiene_ascensores,tiene_cocina,tiene_centros_comerciales_cercanos,tiene_piso_en_el_que_se_encuentra,tiene_seguridad,tiene_exteriores,tiene_reposteros_en_cocina,tiene_closet,tiene_recepcion,tiene_intercomunicador,tiene_cerca_a_colegios,tiene_amueblado_a,tiene_mascotas,tiene_cerca_a_parque_a_menos_de_2_cdras,tiene_tipo_de_cochera,tiene_terraza,tiene_piscina,tiene_av_acceso_asfaltada,tiene_vista_a_la_ciudad,tiene_walk_in_closet,tiene_bano_de_servicio,tiene_cuartos_de_servicio,tiene_numero_de_departamentos,tiene_sistema_contra_incendios,tiene_acabados_de_lujo,tiene_jardines,tiene_vista_al_mar,tiene_vista_parque,tiene_caseta_de_guardia,tiene_frente_a_parque,tiene_portero_electrico,tiene_duplex,tiene_frente_al_mar_primera_fila,tiene_jacuzzi,cocheras_informadas,es_estudio,estrato_nse,cat_dist_emergente,cat_dist_establecido,cat_dist_popular,count_500m_osm_supermercados,count_1km_osm_supermercados,dist_nearest_m_osm_supermercados,count_1km_osm_malls,dist_nearest_m_osm_malls,count_1km_osm_universidades,dist_nearest_m_osm_universidades,count_500m_osm_parques,count_1km_osm_parques,count_500m_osm_farmacias,count_1km_osm_farmacias,dist_nearest_m_osm_farmacias,count_500m_osm_bancos,count_1km_osm_bancos,dist_nearest_m_osm_bancos,count_1km_osm_estaciones,dist_nearest_m_osm_estaciones,n_comisarias_distrito,denuncias_patrimoniales_distrito,denuncias_violentas_distrito,fuente_properati,fuente_urbania,tipo_propiedad_Departamento,mismatch_type_frontera,mismatch_type_ninguno,ratio_area_banos,area_x_amenities,es_zona_premium,antiguedad_sq,total_poi_1km,count_1km_osm_supermercados_premium,count_1km_osm_supermercados_mass,count_1km_osm_bancos_premium,count_1km_osm_bancos_mass,count_1km_osm_farmacias_cadena,count_1km_osm_farmacias_indep,__y_log,__distrito,__celda,__precio_usd
4.919980925828125,1.0,1.0,1.0986122886681098,0.6931471805599453,11.0,-12.1080603,-77.0379086,0.34306952360971044,2.0709324305862444,4.919980925828125,5.0632277442154265,24.0,5.187385805840755,30.0,6.11390339430056,24.0,35.0,4.816241156068032,11.0,4.366912996863833,48.0,4.21803603456465,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.6931471805599453,2,6.087055383859876,0.0,7.164104970698737,0.6931471805599453,6.7887123246046155,9,35,1.3862943611198906,7,4.724573168202074,2.302585092994046,13,4.903001825093047,0.0,8.298112435961135,1.0986122886681098,6925,7.584773077612199,0.0,0.0,1.0,1.0,0.0,4.23410650459726,7.311218384419629,1.0,0.6931471805599453,182.0,0,2,11,0,4,3,7.170888478512505,Miraflores,-12.108_-77.038,1300.0
5.099866427824199,3.0,2.0,1.0986122886681098,1.3862943611198906,18.0,-12.1079869,-77.03234029999999,0.6400437565414131,2.0618972655310444,4.013375499688434,5.549853992363464,60.0,5.301811255802292,53.0,5.363168338867653,60.0,60.0,5.544004882297141,23.0,5.186826990514674,60.0,4.31748811353631,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,1,6.54413557302376,0.6931471805599453,6.696112690349551,1.3862943611198906,6.292074235173256,7,25,0.6931471805599453,17,5.60673375753814,0.6931471805599453,17,5.363994723025185,0.0,8.138541524732064,1.0986122886681098,6925,7.584773077612199,0.0,0.0,1.0,0.0,1.0,4.013375499688434,7.984462732262196,1.0,2.302585092994046,333.0,0,1,12,0,7,10,7.438971592395862,Miraflores,-12.108_-77.032,1700.0
5.365976015021851,3.0,3.0,1.0986122886681098,2.6390573296152584,0.0,-12.099362923247718,-77.04360599140166,0.5534983067478881,1.9620621091425008,4.276666119016055,6.436791188641277,18.0,5.019925341003349,21.0,4.639571612705423,12.0,31.0,5.070789216916003,14.0,5.612397912854348,41.0,5.794536837924666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,2,6.6885366306724965,0.0,7.280918599141044,0.6931471805599453,6.905671195996259,1,18,0.6931471805599453,5,5.681704321978081,0.0,16,6.558361763912234,0.0,8.405513383331167,1.0986122886681098,2775,6.682108597449809,0.0,0.0,1.0,0.0,1.0,3.993602992420569,0.0,1.0,5.135798437050262,149.0,1,0,12,0,3,2,7.824445930877619,San Isidro,-12.099_-77.044,2500.0
4.997212273764115,3.0,2.0,0.6931471805599453,3.1780538303479458,12.0,-12.0937674,-77.0367772,0.8317031382072454,1.847408742971763,3.912023005428146,5.4475990692637914,51.0,4.693181063310805,42.0,4.783316371371566,46.0,55.0,4.882044059723269,28.0,5.589866950526307,60.0,3.2386784521643803,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.6931471805599453,1,6.158808920033648,0.6931471805599453,6.742488081224628,1.6094379124341003,5.0962670999940825,3,15,1.0986122886681098,23,5.956268184504887,2.1972245773362196,16,5.0526472475973305,0.0,8.161615479992824,1.0986122886681098,2775,6.682108597449809,0.0,0.0,1.0,0.0,1.0,3.912023005428146,7.475905969367397,1.0,6.272877006546167,300.0,0,0,7,3,13,10,7.00397413672268,San Isidro,-12.094_-77.037,1100.0
4.948759890378168,3.0,2.0,1.0986122886681098,1.791759469228055,12.0,-12.0922754,-77.0352289,0.9190885966513869,1.816991616647388,3.8642323415917974,5.4475990692637914,51.0,4.693181063310805,42.0,4.783316371371566,46.0,55.0,4.882044059723269,28.0,5.589866950526307,60.0,3.2386784521643803,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.6931471805599453,1,5.590823860917983,0.6931471805599453,6.48594172629406,1.6094379124341003,4.2845049219649685,2,17,2.0794415416798357,29,5.63799151452236,1.791759469228055,25,5.236319740533931,0.0,8.092421623113403,1.0986122886681098,2775,6.682108597449809,0.0,0.0,1.0,0.0,1.0,3.8642323415917974,7.427144133408616,1.0,3.258096538021482,300.0,0,0,12,7,17,12,7.523481312573497,San Isidro,-12.092_-77.035,1850.0
4.948759890378168,3.0,2.0,1.0986122886681098,2.772588722239781,15.0,-12.094803737997175,-77.03554373907164,0.8033271747098394,1.8619806855854215,3.8642323415917974,5.4475990692637914,51.0,4.693181063310805,42.0,4.783316371371566,46.0,55.0,4.882044059723269,28.0,5.589866950526307,60.0,3.2386784521643803,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,1,6.311840063925063,0.6931471805599453,6.844614014990274,1.791759469228055,5.766499472612791,4,20,1.6094379124341003,15,5.5782194207388365,2.1972245773362196,24,4.12216380937264,0.0,8.152187308388235,1.0986122886681098,2775,6.682108597449809,0.0,0.0,1.0,0.0,1.0,3.8642323415917974,7.650168700845001,1.0,5.420534999272286,300.0,0,0,10,7,7,8,7.208600337960199,San Isidro,-12.095_-77.036,1350.0
4.795790545596741,3.0,2.0,1.0986122886681098,1.791759469228055,10.0,-12.1080603,-77.0379086,0.34306952360971044,2.0709324305862444,3.713572066704308,5.0632277442154265,24.0,5.187385805840755,30.0,6.11390339430056,24.0,35.0,4.816241156068032,11.0,4.366912996863833,48.0,4.21803603456465,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.6931471805599453,2,6.087055383859876,0.0,7.164104970698737,0.6931471805599453,6.7887123246046155,9,35,1.3862943611198906,7,4.724573168202074,2.302585092994046,13,4.903001825093047,0.0,8.298112435961135,1.0986122886681098,6925,7.584773077612199,0.0,0.0,1.0,1.0,0.0,3.713572066704308,7.0909098220799835,1.0,3.258096538021482,182.0,0,2,11,0,4,3,7.3783837129967145,Miraflores,-12.108_-77.038,1600.0
5.25227342804663,3.0,2.0,1.0986122886681098,2.772588722239781,12.0,-12.121629989626513,-77.04219268664701,0.9880465553166541,2.250938982404575,4.164077900236776,6.630815303062258,8.0,6.133831788394904,15.0,6.370927852677146,11.0,2.0,6.7303018535850425,6.0,6.528250272543504,10.0,4.9621450849358215,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,2,6.520297471575332,0.6931471805599453,6.368887982249201,0.6931471805599453,5.975895877430645,13,34,0.0,9,6.293169784157366,0.0,1,6.6285058550333575,0.0,8.432546316694513,1.0986122886681098,6925,7.584773077612199,0.0,0.0,1.0,0.0,1.0,4.164077900236776,7.732369222284388,1.0,5.420534999272286,55.0,0,2,1,0,5,4,7.741099090035366,Miraflores,-12.122_-77.042,2300.0
5.442417710521793,3.0,4.0,1.0986122886681098,1.6094379124341003,31.0,-12.083290912686012,-76.96770338247357,2.221688669771995,2.1725010501495707,4.352426164897591,4.9883896851489355,5.0,4.151039905898646,24.0,4.819474788635096,15.0,9.0,4.662495252607361,15.0,4.819474788635096,11.0,5.294811227218749,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4,0.0,1.0,0.0,0.0,1,6.786571976799048,1.3862943611198906,4.73422148451832,0.6931471805599453,6.038577020480686,3,9,0.6931471805599453,2,5.326013719133607,1.3862943611198906,11,5.360771670248412,0.0,7.947042029715981,1.3862943611198906,2299,7.220373836723949,0.0,0.0,1.0,1.0,0.0,3.8501476017100584,8.872206756028303,0.0,2.833213344056216,85.0,0,1,8,2,2,0,7.972810784121404,La Molina,-12.083_-76.968,2900.0
5.198497031265826,3.0,3.0,1.0986122886681098,1.9459101490553132,9.0,-12.1128098,-77.0499044,0.8685086286826647,2.1681972988150813,4.110873864173311,6.054204576929168,9.0,6.33523154074593,13.0,5.527442989539794,18.0,6.0,6.071199515126835,3.0,6.108358298579481,12.0,5.508983396351134,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,1.0,0.0,1.0986122886681098,3,5.732315619834055,0.0,7.361979466934817,0.6931471805599453,6.883094477525246,6,30,1.6094379124341003,6,5.758189040649751,0.6931471805599453,1,5.760047424939505,0.0,8.59267318357418,1.0986122886681098,6925,7.584773077612199,0.0,0.0,1.0,0.0,1.0,3.828641396489095,7.390798521735676,1.0,3.6109179126442243,67.0,0,0,1,0,2,4,7.972810784121404,Miraflores,-12.113_-77.05,2900.0
