lat,lng,distrito,precio_usd,area_m2,dormitorios,banos,antiguedad_anios
-12.0981667,-77.0388171,San Isidro,2400,216,3,4,5
-12.0996082,-77.0400641,San Isidro,2200,210,3,2,9
-12.136986,-77.0040162,Santiago de Surco,500,80,3,1,20
-12.128468587228756,-77.03419109695892,Miraflores,1250,111,2,2,19
-12.1362116,-77.0266046,Miraflores,1700,129,3,2,17
-12.1337848,-77.0189891,Barranco,1045,88,3,2,5
-12.1291512,-77.0234315,Miraflores,680,70,1,1,8
-12.1366941,-77.0224643,Barranco,700,40,1,1,2
-12.1008025,-77.061536,Magdalena del Mar,464,50,1,1,5
-12.13737278795826,-77.02239544232788,Barranco,550,52,1,1,2
-12.0836794,-77.0672463,Pueblo Libre,700,77,3,2,10
-12.1072381,-77.0370929,Miraflores,1000,125,2,2,10
-12.1276347,-77.0216056,Miraflores,1500,150,2,1,4
-12.1072381,-77.0370929,Miraflores,1200,125,3,3,10
-12.1302499,-77.0212,Miraflores,800,52,1,1,1
-12.119096,-77.0303078,Miraflores,550,50,1,1,5
-12.086112,-77.09494560000002,San Miguel,638,73,3,2,8
-12.1312061,-77.0266479,Miraflores,1300,105,2,2,12
-12.0769521,-77.048365,Jesus Maria,870,66,2,2,4
-12.0905583,-77.0283082,San Isidro,667,47,1,1,2
-12.0973725,-77.057561,Magdalena del Mar,690,50,1,1,14
-12.1183604,-77.0120922,Miraflores,700,65,1,1,35
-12.1405444,-77.02380829999998,Barranco,650,78,1,1,40
-12.1243378,-76.9806444,Santiago de Surco,1750,300,4,4,12
-12.0922754,-77.0352289,San Isidro,1100,81,1,1,8
-12.0989504,-76.9785326,Santiago de Surco,725,104,3,3,8
-12.1309871,-77.0250221,Miraflores,1350,104,3,3,12
-12.1378906,-77.0222333,Barranco,585,35,1,1,4
-12.0948733,-77.05114479999997,San Isidro,1250,110,2,3,7
-12.1021759,-77.0578855,San Isidro,2300,300,4,3,11
-12.1325177,-77.0226925,Miraflores,1400,150,3,2,5
-12.0844706,-77.0124258,La Victoria,435,41,1,1,3
-12.1504133,-77.0203154,Barranco,750,100,3,3,10
-12.112092044705747,-77.0479745217041,Miraflores,2500,350,5,5,12
-12.0826106,-77.10359570000003,San Miguel,493,42,1,1,8
-12.1080603,-77.0379086,Miraflores,1600,150,3,2,6
-12.11432466994561,-77.04677257345503,Miraflores,1500,158,2,3,22
-12.098780656577636,-76.97792349262085,Santiago de Surco,928,100,3,2,18
-12.0735051,-77.0523784,Pueblo Libre,551,41,1,1,2
-12.118309,-77.0166757,Miraflores,667,82,2,2,11
-12.0943726,-77.07782120000002,San Miguel,600,50,1,1,6
-12.0934805,-77.0335641,San Isidro,725,50,1,1,5
-12.0782247,-77.0356511,Cercado de Lima,667,52,2,2,8
-12.0758581,-76.9943951,San Luis,600,65,2,1,15
-12.0928217,-77.0492319,San Isidro,630,53,1,1,19
-12.1125367,-77.0281443,Miraflores,790,70,1,2,1
-12.123849,-77.0329219,Miraflores,1200,115,3,3,8
-12.0957985,-76.9894694,San Borja,1900,180,4,2,2
-12.1319952,-76.9922222,Santiago de Surco,754,80,2,1,13
-12.062008291412443,-77.09218835467836,Bellavista,533,67,3,2,13
-12.0993029,-77.04336420000004,San Isidro,2100,178,3,3,11
-12.0824235,-77.0460148,Jesus Maria,768,90,3,2,5
-12.127623,-77.0281011,Miraflores,900,75,2,1,18
-12.1186627,-77.0338471,Miraflores,1000,80,2,2,9
-12.1208641,-77.0419034,Miraflores,1800,130,3,2,2
-12.0831912,-77.0256087,La Victoria,551,42,1,1,2
-12.1289848,-77.0289135,Miraflores,3900,274,4,5,3
-12.1186627,-77.0338471,Miraflores,1500,107,3,2,8
-12.1602143,-76.9634386,San Juan de Miraflores,348,65,2,1,1
-12.1212244,-77.0224214,Miraflores,551,50,1,1,18
