id_portal,url,fuente,precio_usd,area_final_m2,dormitorios,banos,cocheras,antiguedad_anios,amenities_count,tipo_propiedad,latitud,longitud,distrito_oficial,h3_index_8,dist_mar_km,dist_centro_km,area_por_dormitorio,mismatch_type,precision_geocoding,cantidad_denuncias,count_1km_supermercados,dist_nearest_m_supermercados,count_1km_farmacias,dist_nearest_m_farmacias,count_1km_colegios,dist_nearest_m_colegios,count_1km_hospitales,dist_nearest_m_hospitales,count_1km_bancos,dist_nearest_m_bancos,count_1km_universidades,dist_nearest_m_universidades,count_1km_parqueos,dist_nearest_m_parqueos,tiene_numero_de_pisos,tiene_ascensores,tiene_cocina,tiene_centros_comerciales_cercanos,tiene_piso_en_el_que_se_encuentra,tiene_seguridad,tiene_exteriores,tiene_reposteros_en_cocina,tiene_closet,tiene_recepcion,tiene_intercomunicador,tiene_cerca_a_colegios,tiene_amueblado_a,tiene_mascotas,tiene_cerca_a_parque_a_menos_de_2_cdras,tiene_tipo_de_cochera,tiene_terraza,tiene_piscina,tiene_av_acceso_asfaltada,tiene_vista_a_la_ciudad,tiene_walk_in_closet,tiene_bano_de_servicio,tiene_cuartos_de_servicio,tiene_numero_de_departamentos,tiene_sistema_contra_incendios,tiene_acabados_de_lujo,tiene_jardines,tiene_en_condominio,tiene_vista_al_mar,tiene_vista_parque,tiene_caseta_de_guardia,tiene_frente_a_parque,tiene_cerco_de_material_noble,tiene_portero_electrico,tiene_av_acceso_afirmada,tiene_duplex,tiene_frente_al_mar_primera_fila,tiene_jacuzzi
54972427,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-de-136-m-sup2--a-$1-300-54972427.html,adondevivir,1300.0,136.0,1.0,1.0,2.0,1.0,11.0,Departamento,-12.1080603,-77.0379086,Miraflores,888e62c0b1fffff,0.4092667358311814,6.93221591141294,136.0,frontera,exacta,34,10.0,157.1,24.0,178.0,30.0,451.1,24.0,196.0,35.0,122.5,11.0,77.8,48.0,66.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54972855,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-duplex-de-163-m-sup2--cerca-a-54972855.html,adondevivir,1700.0,163.0,3.0,2.0,2.0,3.0,18.0,Departamento,-12.1079869,-77.03234029999999,Miraflores,888e62c0b3fffff,0.8965638645646465,6.860869828573175,54.333333333333336,ninguno,exacta,24,17.0,256.2,60.0,199.7,53.0,212.4,60.0,110.7,60.0,254.7,23.0,177.9,60.0,74.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55156021,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-departamento-de-213-m-sup2--a-$2-100-55156021.html,adondevivir,2500.0,213.0,3.0,3.0,2.0,13.0,0.0,Departamento,-12.099362923247718,-77.04360599140166,San Isidro,888e62c0bdfffff,0.7393270868792912,6.113981756997303,71.0,ninguno,exacta,16,12.0,623.4,18.0,150.4,21.0,102.5,12.0,403.8,31.0,158.3,14.0,272.8,41.0,327.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55314477,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-de-147-m-sup2--3-dorm-55314477.html,adondevivir,1100.0,147.0,3.0,2.0,1.0,23.0,12.0,Departamento,-12.0937674,-77.0367772,San Isidro,888e62c0b9fffff,1.297227907012806,5.343360928998168,49.0,ninguno,exacta,36,18.0,231.2,51.0,108.2,42.0,118.5,46.0,355.8,55.0,130.9,28.0,266.7,60.0,24.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55336324,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-departamento-de-140-m-sup2--a-$1-850-55336324.html,adondevivir,1850.0,140.0,3.0,2.0,2.0,5.0,12.0,Departamento,-12.0922754,-77.0352289,San Isidro,888e62c0b9fffff,1.5070044561343634,5.1533190344849515,46.666666666666664,ninguno,exacta,36,18.0,231.2,51.0,108.2,42.0,118.5,46.0,355.8,55.0,130.9,28.0,266.7,60.0,24.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56439177,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-equipado-de-140-m-sup2--cerca-al-56439177.html,adondevivir,1350.0,140.0,3.0,2.0,2.0,15.0,15.0,Departamento,-12.094803737997175,-77.03554373907164,San Isidro,888e62c0b9fffff,1.2329580241296465,5.436472783110485,46.666666666666664,ninguno,exacta,36,18.0,231.2,51.0,108.2,42.0,118.5,46.0,355.8,55.0,130.9,28.0,266.7,60.0,24.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56638036,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-de-120-m-sup2--cerca-del-56638036.html,adondevivir,1600.0,120.0,3.0,2.0,2.0,5.0,10.0,Departamento,-12.1080603,-77.0379086,Miraflores,888e62c0b1fffff,0.4092667358311814,6.93221591141294,40.0,frontera,exacta,34,10.0,157.1,24.0,178.0,30.0,451.1,24.0,196.0,35.0,122.5,11.0,77.8,48.0,66.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57003652,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-190-m-sup2--a-$2-300-frente-al-57003652.html,adondevivir,2300.0,190.0,3.0,2.0,2.0,15.0,12.0,Departamento,-12.121629989626513,-77.04219268664701,Miraflores,888e62ce5dfffff,1.685982426138615,8.496648837288774,63.333333333333336,ninguno,exacta,15,3.0,757.1,8.0,460.2,15.0,583.6,11.0,489.1,2.0,836.4,6.0,683.2,10.0,141.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57530761,https://www.adondevivir.com/propiedades/clasificado/alclapin-ocasion!-alquilo-departamento-en-exclusivo-condominio-57530761.html,adondevivir,2900.0,230.0,3.0,4.0,2.0,4.0,31.0,Departamento,-12.083290912686012,-76.96770338247357,La Molina,888e62c703fffff,8.222892142426996,7.780216363838213,76.66666666666667,frontera,exacta,46,6.0,145.7,5.0,62.5,24.0,122.9,15.0,62.5,9.0,104.9,15.0,122.9,11.0,198.3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
57736168,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-180-m-sup2--en-malecon-de-la-57736168.html,adondevivir,2900.0,180.0,3.0,3.0,2.0,6.0,9.0,Departamento,-12.1128098,-77.0499044,Miraflores,888e62ce4bfffff,1.3833537362909094,7.742509694211191,60.0,ninguno,cuadra,7,6.0,424.9,9.0,563.1,13.0,250.5,18.0,323.0,6.0,432.2,3.0,448.6,12.0,245.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
