latitud,longitud,distrito_oficial,dist_mar_km,cantidad_denuncias,count_1km_supermercados,count_1km_farmacias,count_1km_colegios,count_1km_hospitales,count_1km_bancos,count_1km_universidades,count_1km_parqueos,dist_nearest_m_supermercados,dist_nearest_m_farmacias,dist_nearest_m_colegios,dist_nearest_m_hospitales,dist_nearest_m_bancos,dist_nearest_m_universidades,dist_nearest_m_parqueos
-12.1289371,-77.01574470000001,Miraflores,1.5666111107153755,10,9.0,38.0,46.0,31.0,33.0,5.0,9.0,241.2,138.7,83.5,205.0,96.9,656.0,111.7
-12.1327084,-77.0293873,Miraflores,0.20130431381096,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.1128098,-77.0499044,Miraflores,1.3833537362909094,7,6.0,9.0,13.0,18.0,6.0,3.0,12.0,424.9,563.1,250.5,323.0,432.2,448.6,245.9
-12.1353995,-77.027611,Miraflores,0.5538666566485406,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.102371646872786,-77.03283925026244,San Isidro,0.83158748843043,29,18.0,43.0,48.0,59.0,39.0,21.0,58.0,519.2,70.9,312.0,26.3,115.2,214.6,381.3
-12.0990655,-77.0527398,San Isidro,1.534275926155103,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.1337057,-77.028807,Miraflores,0.327623244933981,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.124780408319868,-77.02860714683531,Miraflores,0.7079697047976568,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.0938354,-77.0508171,San Isidro,1.7100790476755934,77,21.0,46.0,56.0,58.0,58.0,24.0,40.0,317.5,211.6,64.4,390.8,198.6,170.8,181.8
-12.0936396,-77.0299098,San Isidro,1.6730964505354378,78,23.0,44.0,50.0,60.0,60.0,26.0,60.0,45.8,34.8,160.7,190.2,29.9,106.7,57.2
-12.1197379,-77.0435356,Miraflores,1.6832568380076118,15,3.0,8.0,15.0,11.0,2.0,6.0,10.0,757.1,460.2,583.6,489.1,836.4,683.2,141.9
-12.1253816,-77.0239003,Miraflores,0.9110549999832424,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.098604083144595,-77.03541851957397,San Isidro,0.8682832043628418,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.0942517,-77.0401925,San Isidro,1.1953396740533129,37,33.0,60.0,60.0,60.0,60.0,28.0,60.0,215.7,140.0,193.1,202.9,262.5,267.3,169.6
-12.0981788,-77.0552299,San Isidro,1.6597853002349796,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.0981788,-77.0552299,San Isidro,1.6597853002349796,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.12747,-77.0357059,Miraflores,0.7340618095204845,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.130702722600024,-77.02051385991899,Miraflores,1.031786610676008,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.1308384,-77.0319481,Miraflores,0.2125426800580565,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.145991694644994,-76.99364247427445,Santiago de Surco,3.3131948249976912,3,9.0,42.0,42.0,7.0,19.0,4.0,4.0,317.7,85.4,103.0,520.6,668.8,525.0,598.1
-12.1337057,-77.028807,Miraflores,0.327623244933981,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.1356395,-76.9838385,Santiago de Surco,4.721335910031633,25,16.0,34.0,52.0,13.0,16.0,16.0,8.0,90.8,139.6,264.3,159.3,352.3,593.0,282.7
-11.9568924,-77.0621353,Comas,12.541174945636048,51,12.0,60.0,60.0,24.0,54.0,8.0,5.0,145.9,89.6,151.4,207.2,40.1,58.0,243.7
-12.1218662,-77.0256611,Miraflores,1.1198249771658353,43,19.0,60.0,60.0,60.0,60.0,30.0,60.0,151.7,71.3,137.2,56.6,48.8,109.4,16.9
-12.0764283,-77.07402189999999,Pueblo Libre,0.99174289530705,240,10.0,50.0,60.0,20.0,46.0,43.0,19.0,261.9,213.2,58.1,171.2,266.8,177.3,258.7
-12.1220426,-77.0256557,Miraflores,1.102317524985647,43,19.0,60.0,60.0,60.0,60.0,30.0,60.0,151.7,71.3,137.2,56.6,48.8,109.4,16.9
-12.0772273,-77.0469229,Jesus Maria,2.6961456448250187,234,22.0,60.0,60.0,60.0,60.0,36.0,27.0,92.8,90.8,133.4,101.0,48.3,90.2,158.7
-12.093608277944972,-77.03949877044205,San Isidro,1.2678734228966888,37,33.0,60.0,60.0,60.0,60.0,28.0,60.0,215.7,140.0,193.1,202.9,262.5,267.3,169.6
-12.12425723940994,-77.02600310000003,Miraflores,0.8665710993007253,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.107958,-77.0323009,Miraflores,0.8993639666766853,29,18.0,43.0,48.0,59.0,39.0,21.0,58.0,519.2,70.9,312.0,26.3,115.2,214.6,381.3
-12.1298985,-77.0332154,Miraflores,0.370390255580771,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.1296962,-77.0224961,Miraflores,0.8285475376314514,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.0647645,-77.0389234,Cercado de Lima,4.227260302944534,707,15.0,60.0,60.0,52.0,60.0,60.0,58.0,155.8,117.0,193.2,180.2,172.4,132.8,59.4
-12.0898031,-77.0283926,San Isidro,2.109071735804952,59,35.0,60.0,60.0,60.0,60.0,36.0,60.0,86.8,94.6,143.1,142.5,190.2,246.6,307.3
-12.0694256,-77.0445279,Jesus Maria,3.4274689654754846,67,18.0,60.0,60.0,60.0,60.0,32.0,27.0,158.3,44.1,118.6,90.8,13.1,52.1,40.5
-12.0700592,-77.0439652,Jesus Maria,3.427269944464181,152,16.0,60.0,60.0,60.0,60.0,57.0,44.0,324.0,29.4,106.7,170.2,146.1,97.9,107.8
-12.095232,-77.047177,San Isidro,1.3373925284293136,16,12.0,18.0,21.0,12.0,31.0,14.0,41.0,623.4,150.4,102.5,403.8,158.3,272.8,327.5
-12.12503139221509,-77.03652638836058,Miraflores,0.9715275192317606,35,11.0,42.0,40.0,60.0,57.0,22.0,55.0,244.2,22.8,265.6,149.1,167.9,145.7,187.1
-12.1188617,-77.0342053,Miraflores,1.425042960109674,35,11.0,42.0,40.0,60.0,57.0,22.0,55.0,244.2,22.8,265.6,149.1,167.9,145.7,187.1
-12.1199579,-77.0443306,Miraflores,1.7285970739070509,15,3.0,8.0,15.0,11.0,2.0,6.0,10.0,757.1,460.2,583.6,489.1,836.4,683.2,141.9
-12.1234566,-77.0366055,Miraflores,1.1041929981322118,35,11.0,42.0,40.0,60.0,57.0,22.0,55.0,244.2,22.8,265.6,149.1,167.9,145.7,187.1
-12.1227258,-77.0159186,Miraflores,1.7860459717226391,10,9.0,38.0,46.0,31.0,33.0,5.0,9.0,241.2,138.7,83.5,205.0,96.9,656.0,111.7
-12.1213356,-77.0422701,Miraflores,1.7129518798337005,15,3.0,8.0,15.0,11.0,2.0,6.0,10.0,757.1,460.2,583.6,489.1,836.4,683.2,141.9
-12.1365525,-77.0264005,Miraflores,0.7309678934554427,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.127623,-77.0281011,Miraflores,0.4285082807289219,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.1439937,-77.0245734,Barranco,1.125718790878523,60,11.0,30.0,58.0,10.0,26.0,8.0,23.0,160.3,132.1,75.8,192.7,74.3,184.5,119.9
-12.1228776,-77.0400125,Miraflores,1.4144030071756928,35,11.0,42.0,40.0,60.0,57.0,22.0,55.0,244.2,22.8,265.6,149.1,167.9,145.7,187.1
-12.1288461,-77.0270043,Miraflores,0.4042551710149726,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.0887922,-76.9929657,San Borja,5.422120714620298,8,9.0,54.0,45.0,40.0,29.0,17.0,8.0,223.4,263.0,314.5,171.6,180.2,177.0,210.5
-12.1195574,-77.0437247,Miraflores,1.6685926752870908,15,3.0,8.0,15.0,11.0,2.0,6.0,10.0,757.1,460.2,583.6,489.1,836.4,683.2,141.9
-12.1128098,-77.0499044,Miraflores,1.3833537362909094,7,6.0,9.0,13.0,18.0,6.0,3.0,12.0,424.9,563.1,250.5,323.0,432.2,448.6,245.9
-12.1128098,-77.0499044,Miraflores,1.3833537362909094,7,6.0,9.0,13.0,18.0,6.0,3.0,12.0,424.9,563.1,250.5,323.0,432.2,448.6,245.9
-12.0948068,-77.0374104,San Isidro,1.1678786604789977,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.3416667,-76.8252778,Punta Hermosa,26.833322307425885,0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,571.2,887.9,912.9,526.6599999999993,535.8,661.5,674.3
-12.12747,-77.0357059,Miraflores,0.7340618095204845,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.1218181,-77.0051418,Surquillo,2.888861969610755,22,11.0,48.0,55.0,30.0,47.0,2.0,8.0,307.5,57.8,30.8,304.5,221.1,328.3,635.7
-12.0946479,-77.0240633,San Isidro,2.080221730131301,78,23.0,44.0,50.0,60.0,60.0,26.0,60.0,45.8,34.8,160.7,190.2,29.9,106.7,57.2
-12.0936396,-77.0299098,San Isidro,1.6730964505354378,78,23.0,44.0,50.0,60.0,60.0,26.0,60.0,45.8,34.8,160.7,190.2,29.9,106.7,57.2
-12.12747,-77.0357059,Miraflores,0.7340618095204845,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.0843543,-77.0324773,Lince,2.437050589634623,59,35.0,60.0,60.0,60.0,60.0,36.0,60.0,86.8,94.6,143.1,142.5,190.2,246.6,307.3
-12.1488627,-77.0217823,Barranco,0.5863773974518974,18,3.0,15.0,31.0,9.0,18.0,4.0,17.0,611.3,519.1,259.0,528.8,538.9,402.4,169.6
-12.1504133,-77.0203154,Barranco,0.4941875607440807,38,10.0,38.0,52.0,10.0,33.0,6.0,26.0,447.4,76.2,21.7,347.0,74.1,340.4,243.8
-12.0749333,-77.0507088,Jesus Maria,2.518242564582035,234,22.0,60.0,60.0,60.0,60.0,36.0,27.0,92.8,90.8,133.4,101.0,48.3,90.2,158.7
-12.0677882,-76.9409153,Ate,11.540757445592824,107,9.0,36.0,48.0,21.0,10.0,6.0,9.0,369.3,317.4,88.8,384.9,554.8,458.7,67.2
-12.1405385,-77.0241077,Barranco,1.2390514315035142,60,11.0,30.0,58.0,10.0,26.0,8.0,23.0,160.3,132.1,75.8,192.7,74.3,184.5,119.9
-12.1095703,-77.0315462,Miraflores,1.05025009948404,24,17.0,60.0,53.0,60.0,60.0,23.0,60.0,256.2,199.7,212.4,110.7,254.7,177.9,74.0
-12.0981667,-77.0388171,San Isidro,0.770635734178059,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.0996082,-77.0400641,San Isidro,0.599581309702474,16,12.0,18.0,21.0,12.0,31.0,14.0,41.0,623.4,150.4,102.5,403.8,158.3,272.8,327.5
-12.136986,-77.0040162,Santiago de Surco,2.799613716728849,20,8.0,36.0,53.0,6.0,17.0,7.0,7.0,221.4,217.6,199.0,450.2,157.1,303.0,162.2
