dist_mar_km,cantidad_denuncias,count_1km_supermercados,count_1km_farmacias,count_1km_colegios,count_1km_hospitales,count_1km_bancos,count_1km_universidades,count_1km_parqueos,dist_nearest_m_supermercados,dist_nearest_m_farmacias,dist_nearest_m_colegios,dist_nearest_m_hospitales,dist_nearest_m_bancos,dist_nearest_m_universidades,dist_nearest_m_parqueos,distrito,m2,dormitorios,banos,cocheras,antiguedad_anios,lat,lng,price_usd,coord_cell
2.4613406454639057,60.0,22.0,60.0,60.0,60.0,43.0,25.0,36.0,119.6,200.8,136.0,172.9,163.8,106.4,112.1,Jesus Maria,204.0,4.0,3.0,1.0,0.0,-12.0812802,-77.0479059,293294.94,-12.081_-77.048
1.4809804953151904,9.441133143970031,11.192955586919798,56.970214890066394,51.886283088770156,15.522783349093087,34.55011497760759,2.853579569142738,9.64661374706049,174.05683665064674,211.81714923919878,137.08580538566738,224.36785227768888,206.90300308316944,283.78073126247887,230.65384456328798,Chorrillos,104.0,3.0,1.0,0.0,0.0,-12.1797533,-77.0121981,91000.0,-12.18_-77.012
0.8576917096642387,21.85597450509617,3.936443028060898,48.39416415049683,45.237316336730785,23.91953147703527,19.300873308669882,7.872886056121796,9.190670915817305,165.02707916919695,223.3776822102435,128.09576506868092,33.328548475350715,192.70984893187344,263.068408588298,323.4868796823958,Chorrillos,90.0,0.0,1.0,1.0,0.0,-12.1654514,-77.0257716,230000.0,-12.165_-77.026
2.1170754251497366,52.37116599034672,32.40539068874931,60.0,60.0,60.0,60.0,34.295010668913534,58.63050822411847,140.67430079297992,85.47953982994177,118.40047063861573,122.75594032079118,172.42719659323114,182.65690163049965,168.5590093244046,Lince,57.0,2.0,1.0,0.0,0.0,-12.08656755,-77.03664698683625,140152.94,-12.087_-77.037
9.585388979427222,15.56374855122289,16.09645976951419,60.0,60.0,25.57768284734043,36.610344905974344,5.870878171851893,10.063797710880277,149.18258286308557,95.41222636561389,101.65391625123496,127.44669097886462,197.72513608433542,417.4028004769668,258.468525247072,San Martin de Porres,77.0,2.0,1.0,1.0,0.0,-11.9802401,-77.0821241,76000.0,-11.98_-77.082
1.0301066938699392,11.808598392977554,12.182483648114001,24.11273780650089,26.73885255136444,37.23439357191022,25.234393571910218,7.121655765409333,27.79968043406911,373.6540799834106,362.6501412755928,151.8550386812033,298.5448424585713,526.3111399768464,318.6991491268492,238.06885404572228,Miraflores,170.0,3.0,2.0,2.0,0.0,-12.1115317451,-77.046067488,367900.0,-12.112_-77.046
1.9688963675721312,11.984181527511744,8.751977309061033,33.28756887215961,43.767795781549296,27.527682326854453,29.527682326854453,5.496045381877936,8.00790923624413,254.46921396523481,143.95808104790612,114.00679098549305,173.72433867259616,125.84424803257755,604.7089075138215,258.1077944612727,Miraflores,35.0,1.0,1.0,0.0,0.0,-12.1290092,-77.0126998,98000.0,-12.129_-77.013
17.493518571347323,30.019778623999812,6.995501877252814,59.07359565265341,44.071079019406994,9.13373416985666,20.22890410662142,1.990499540821272,5.723474596592507,247.08298048424467,164.4552255829148,67.25282647539791,441.2778918705276,202.30076935789324,558.8330027754107,501.78475895388965,Comas,51.0,3.0,1.0,0.0,0.0,-11.9150865,-77.04784819999999,45447.08,-11.915_-77.048
5.999792904373441,3.571375760138293,4.974782090003993,8.886825779491152,27.307367756855783,13.79190870620355,17.77538580765099,5.851039537639016,11.930300836708405,219.77336707135896,450.08374580064617,277.4687382721241,522.2664437331156,334.93573298342477,708.1916723075044,296.64668806169874,Santiago de Surco,299.0,4.0,3.0,4.0,0.0,-12.1045644,-76.9828095,530000.0,-12.105_-76.983
6.554910437065191,10.569618635270682,13.737938674913547,60.0,58.42530769129647,16.423164768316067,30.02625940459182,5.909684017780616,5.562307090297526,281.36218769506115,178.77332824772327,161.83110424859126,155.68730102374246,168.4120165401115,375.2127554581199,483.64297080732314,San Martin de Porres,97.0,4.0,3.0,0.0,0.0,-12.0139465,-77.0722236,96000.0,-12.014_-77.072
4.606326267133426,62.86249777284371,10.963759475679256,59.99999999999999,54.75412844945353,15.472841977224014,38.96906114007147,6.239833765374861,5.252090311076999,204.75313434290564,98.35136563726957,147.68615560258127,215.02650780626703,135.05781160364324,274.7316291928523,376.9381768231759,San Martin de Porres,66.0,2.0,1.0,0.0,0.0,-12.029401,-77.0766944,54000.0,-12.029_-77.077
