id,title,price_usd,precio_m2,m2,lat,lng,address,distrito,dormitorios,banos,cocheras,antiguedad_anios,construction_state,property_type,url
193833605,Departamento 2 dormitorios a pasos de embajada USA,151043.0,2604.2,58,-12.1033634,-76.9703063,Av. La Encalada  al 1300,,2,2,0,0,A estrenar,Departamento,/departamento-2-dormitorios-a-pasos-de-embajada-usa/193833605
193775634,:FRENTE A PARQUE - PRIMER PISO - PATIO Y TERRAZA CON PARRILLA- ZONA CERRADA,150000.0,1363.6,110,-12.104304311,-76.9689974033,FRENTE A PARQUE - PRIMER PISO - PATIO Y TERRAZA CON PARRILLA- ZONA CERRADA,,2,2,1,0,Buen estado,Departamento,/frente-a-parque-primer-piso-patio-y-terraza-con-parrilla-zona-cerrada/193775634
193568379,VENTA DE DEPARTAMENTO EN MIRAFLORES - ENTREGA INMEDIATA,190798.58,3180.0,60,-12.1345806,-77.0269382,"Calle San Ignacio de Loyola 150, Miraflores, Perú",Miraflores,1,2,0,0,A estrenar,Departamento,/venta-de-departamento-en-miraflores-entrega-inmediata/193568379
192918746,VENTA DEPARTAMENTO EN PUNTA HERMOSA - DPTO 201 (609-622-19),265702.11,2142.8,124,-12.3316440126,-76.8300575443,"Malecón SUPERIOR N° 7XX, dpto. 201",Malecón SUPERIOR N° 7XX,3,2,1,0,A estrenar,Departamento,/venta-departamento-en-punta-hermosa-dpto-201-60962219/192918746
193561144,VENTA DE DEPARTAMENTO EN SAN BORJA,266202.62,2237.0,119,-12.101271,-77.009429,"Av. del Parque Sur 7xx, San Borja, Perú",San Borja,3,2,0,0,A estrenar,Departamento,/venta-de-departamento-en-san-borja/193561144
193006042,VENDO Amplio Departamento en Pueblo Libre - 84 Mt - Con Áreas comunes y una Ubicación Estratégica,120000.0,1428.6,84,-12.0776016,-77.0689487,Av. Cipriano al 1000-SUPER OPORTUNIDAD DE COMPRA!,,3,2,1,0,Buen estado,Departamento,/vendo-amplio-departamento-en-pueblo-libre-84-mt-con-areas-comunes-y-una-ubicacion-estrategica/193006042
192918723,VENTA DEPARTAMENTO EN SURQUILLO - DPTO 408 AL 2808 (609-1022-32),74767.78,2076.9,36,-12.1122825002,-77.0130192915,"Av ANGAMOS ESTE N° 17XX, dpto. 408 AL 2808",Av ANGAMOS ESTE N° 17XX,1,1,1,0,A estrenar,Departamento,/venta-departamento-en-surquillo-dpto-408-al-2808-609102232/192918723
192932046,"Vendo Departamento En Golf Los Inkas Surco, V/ Externa, Piscina En Condominio.",340000.0,1878.5,181,-12.0791604,-76.9583996,"Agatas, Club Golf Los Incas, Santiago de Surco, Perú",Santiago de Surco,3,3,2,0,Excelente estado,Departamento,/vendo-departamento-en-golf-los-inkas-surco-v-externa-piscina-en-condominio/192932046
193569802,Departamento en venta de 2 DORM ubicado en Lince a pasos de San Isidro. Oportunidad de Inversion,104690.0,1938.7,54,-12.0839394,-77.0348052,Av. Arequipa al 1900,,2,2,0,0,A estrenar,Departamento,/departamento-en-venta-de-2-dorm-ubicado-en-lince-a-pasos-de-san-isidro-oportunidad-de-inversion/193569802
192720384,DEPARTAMENTO EN VENTA EN SANTIAGO DE SURCO,280000.0,2014.4,139,-12.1178028,-76.9763196,"Jirón Jacarandá 150, Santiago de Surco, Perú",Santiago de Surco,3,3,2,0,Excelente estado,Departamento,/departamento-en-venta-en-santiago-de-surco/192720384
192853884,VENTA DEPARTAMENTO LINCE - DPTO 205 AL 505 (609-1085-8),174125.36,2385.3,73,-12.0893710774,-77.0299114856,"Jirón DOMINGO CASANOVA N° 5XX, dpto. 205 AL 505",Jirón DOMINGO CASANOVA N° 5XX,3,2,1,0,A estrenar,Departamento,/venta-departamento-lince-dpto-205-al-505-60910858/192853884
192830086,San Miguel Duplex En Venta Cerca Upc De 3 Habitaciones,165000.0,1586.5,104,-12.075606582478596,-77.0965418888568,"San Miguel, Perú",San Miguel,3,3,2,0,Excelente estado,Departamento,/san-miguel-duplex-en-venta-cerca-upc-de-3-habitaciones/192830086
192882434,VENTA DEPARTAMENTO EN SAN MIGUEL - DPTO 306 AL 1106 (609-1041-24),104649.38,1635.1,64,-12.0870862781,-77.0838543071,"Av UNIVERSITARIA N° 3XX, dpto. 306 AL 1106",Av UNIVERSITARIA N° 3XX,2,2,0,0,A estrenar,Departamento,/venta-departamento-en-san-miguel-dpto-306-al-1106-609104124/192882434
192951721,VENTA DEPARTAMENTO SAN MIGUEL - DPT 108 (609-751-305),111031.62,1708.2,65,-12.0807916145,-77.1035417212,"Av. LA PAZ N°11XX, Dpto 108",Av. LA PAZ N°11XX,3,2,1,0,A estrenar,Departamento,/venta-departamento-san-miguel-dpt-108-609751305/192951721
192887261,Departamento de  1 Dorm. - Desembolso hipotecario 2026,98550.0,2403.7,41,-12.1070301,-77.0160649,Av. Tomás Marsano con Av. Guardia Civil,,1,1,0,0,A estrenar,Departamento,/departamento-de-1-dorm-desembolso-hipotecario-2026/192887261
193791265,"Venta Departamento FRENTE A PARQUE - 3er Piso sin ascensor con aires (terraza 124m2), 2 cocheras",275000.0,1122.4,245,-12.0331092,-76.9479918,Calle 34 Piso 3-San Isidro,San Isidro,3,3,2,0,Buen estado,Departamento,/venta-departamento-frente-a-parque-3er-piso-sin-ascensor-con-aires-terraza-124m2-2-cocheras/193791265
192209421,Miraflores dpto en venta ocasion,245000.0,2112.1,116,-12.110757769910906,-77.03537433408202,"Jirón Arica, Miraflores, Perú",Miraflores,3,3,1,0,Buen estado,Departamento,/miraflores-dpto-en-venta-ocasion/192209421
192466488,Venta Departamento de 2 dormitorios cerca a la Av. Sucre en Pueblo Libre,106765.0,2014.4,53,-12.0836562333,-77.0686372569,Departamento de 2 dormitorios en Pueblo Libre cerca a Av. Sucre,Pueblo Libre,2,2,0,0,A estrenar,Departamento,/venta-departamento-de-2-dormitorios-cerca-a-la-av-sucre-en-pueblo-libre/192466488
192353475,VENTA DEPA EN LINCE - DPT X02 (609-1030-5 CATALINA),268671.42,2634.0,102,-12.0900964,-77.0408037,AV. TRINIDAD MORAN 11XX DPT X02,,3,2,1,0,A estrenar,Departamento,/venta-depa-en-lince-dpt-x02-60910305-catalina/192353475
192063493,VENTA EN EL CORAZÓN DE MIRAFLORES - DPT 504 (609-534-4),240360.0,2403.6,100,-12.1218269622,-77.0244975249,"Av. PASEO DE LA REPUBLICA N°57XX, Dpto. 504.",Av. PASEO DE LA REPUBLICA N°57XX,2,2,0,0,Buen estado,Departamento,/venta-en-el-corazon-de-miraflores-dpt-504-6095344/192063493
192063508,DEPARTAMENTO EN EL CORAZÓN DE MIRAFLORES - DPT 1203 (609-534-7),460215.0,2202.0,209,-12.117715,-77.0263858,"Av. PASEO DE LA REPUBLICA N°57XX, Dpto. 1203.",Av. PASEO DE LA REPUBLICA N°57XX,3,3,0,0,Buen estado,Departamento,/departamento-en-el-corazon-de-miraflores-dpt-1203-6095347/192063508
